text,text_indexes
enter king henry lord john of lancaster the earl of westmoreland sir walter blunt and others,"[113, 93, 434, 67, 351, 6, 2731, 2]"
so shaken as we are so wan with care,"[29, 8095, 22, 38, 39, 29, 4916, 21]"
find we a time for frighted peace to pant,"[153, 38, 8, 110, 16, 2732, 223, 5]"
shall daub her lips with her own childrens blood,"[35, 6005, 34, 508, 21, 34, 121, 3707]"
march all one way and be no more opposed,"[761, 37, 68, 148, 4, 18, 33, 55]"
but this our purpose now is twelve month old,"[19, 24, 56, 509, 44, 13, 1482, 1196]"
and bootless tis to tell you we will go,"[4, 4918, 98, 5, 94, 7, 38, 26]"
therefore we meet not now then let me hear,"[245, 38, 253, 12, 44, 62, 61, 15]"
was by the rude hands of that welshman taken,"[53, 36, 2, 1234, 258, 6, 9, 4919]"
it seems then that the tidings of this broil,"[14, 637, 62, 9, 2, 1986, 6, 24]"
came from the north and thus it did import,"[259, 60, 2, 1360, 4, 145, 14, 86]"
where they did spend a sad and bloody hour,"[108, 45, 86, 799, 8, 561, 4, 800]"
for he that brought them in the very heat,"[16, 17, 9, 437, 64, 11, 2, 142]"
and he hath brought us smooth and welcome news,"[4, 17, 75, 437, 81, 1483, 4, 510]"
balkd in their own blood did sir walter see,"[8096, 11, 92, 121, 149, 86, 57, 2110]"
it is a conquest for a prince to boast of,"[14, 13, 8, 2984, 16, 8, 265, 5]"
yea there thou makest me sad and makest me sin,"[458, 73, 28, 1688, 15, 561, 4, 1688]"
should be the father to so blest a son,"[83, 18, 2, 165, 5, 29, 1159, 8]"
a son who is the theme of honours tongue,"[8, 161, 106, 13, 2, 1779, 6, 1274]"
whilst i by looking on the praise of him,"[663, 3, 36, 2985, 42, 2, 459, 6]"
of my young harry o that it could be proved,"[6, 10, 220, 1275, 54, 9, 14, 128]"
then would i have his harry and he mine,"[62, 43, 3, 20, 25, 1275, 4, 17]"
but let him from my thoughts what think you coz,"[19, 61, 23, 60, 10, 474, 32, 100]"
to his own use he keeps and sends me word,"[5, 25, 121, 243, 17, 824, 4, 1780]"
i shall have none but mordake earl of fife,"[3, 35, 20, 177, 19, 8097, 881, 6]"
but i have sent for him to answer this,"[19, 3, 20, 301, 16, 23, 5, 298]"
for more is to be said and to be done,"[16, 55, 13, 5, 18, 219, 4, 5]"
now hal what time of day is it lad,"[44, 1160, 32, 110, 6, 134, 13, 14]"
thou art so fatwitted with drinking of old sack,"[28, 118, 29, 8098, 21, 1781, 6, 139]"
what a devil hast thou to do with the time of the,"[32, 8, 348, 155, 28, 5, 31, 21]"
day unless hours were cups of sack and minutes,"[134, 626, 627, 74, 3709, 6, 933, 4]"
capons and clocks the tongues of bawds and dials the,"[6006, 4, 4212, 2, 915, 6, 4213, 4]"
a fair hot wench in flamecoloured taffeta i see no,"[8, 156, 438, 1131, 11, 8100, 6007, 3]"
reason why thou shouldst be so superfluous to demand,"[393, 91, 28, 839, 18, 29, 6008, 5]"
indeed you come near me now hal for we that take,"[254, 7, 52, 352, 15, 44, 1160, 16]"
purses go by the moon and the seven stars and not,"[3711, 76, 36, 2, 541, 4, 2, 862]"
i prithee sweet wag when thou art king as god,"[3, 515, 158, 1987, 58, 28, 118, 93]"
no by my troth not so much as will serve to,"[33, 36, 10, 602, 12, 29, 104, 22]"
marry then sweet wag when thou art king let not,"[237, 62, 158, 1987, 58, 28, 118, 93]"
us that are squires of the nights body be called,"[81, 9, 39, 6009, 6, 2, 1132, 439]"
thieves of the days beauty let us be dianas,"[1424, 6, 2, 427, 664, 61, 81, 18]"
moon and let men say we be men of good government,"[541, 4, 61, 116, 71, 38, 18, 116]"
being governed as the sea is by our noble and,"[195, 4215, 22, 2, 321, 13, 36, 56]"
chaste mistress the moon under whose countenance we steal,"[1235, 299, 2, 541, 478, 255, 1782, 38]"
thou sayest well and it holds well too for the,"[28, 1485, 51, 4, 14, 894, 51, 96]"
fortune of us that are the moons men doth ebb and,"[406, 6, 81, 9, 39, 2, 2986, 116]"
flow like the sea being governed as the sea is,"[1689, 87, 2, 321, 195, 4215, 22, 2]"
by the moon as for proof now a purse of gold,"[36, 2, 541, 22, 16, 952, 44, 8]"
swearing lay by and spent with crying bring in,"[2734, 313, 36, 4, 1133, 21, 1988, 208]"
now in as low an ebb as the foot of the ladder,"[44, 11, 22, 841, 78, 2987, 22, 2]"
and by and by in as high a flow as the ridge of the gallows,"[4, 36, 4, 36, 11, 22, 441, 8]"
by the lord thou sayest true lad and is not my,"[36, 2, 67, 28, 1485, 129, 1875, 4]"
