text,text_indexes
i will look further intot and i have a disguise,"[3, 26, 115, 598, 7365, 4, 3, 20]"
back thy business there whereupon i command thee to,"[289, 41, 545, 73, 8046, 3, 666, 40]"
for truth hath better deeds than words to grace it,"[16, 263, 75, 199, 765, 79, 213, 5]"
ask what thou wilt that i had said and done,"[428, 32, 28, 292, 9, 3, 77, 219]"
but i pray you let none of your people stir me i,"[19, 3, 123, 7, 61, 177, 6, 27]"
be large in mirth anon well drink a measure,"[18, 1091, 11, 1064, 865, 51, 475, 8]"
thou dost affect my manners and dost use them,"[28, 218, 2160, 10, 1244, 4, 218, 243]"
it shall be eased if france can yield relief,"[14, 35, 18, 6353, 30, 240, 97, 588]"
he thought twas witchcraftbut i am much to blame,"[17, 233, 491, 12539, 3, 49, 104, 5]"
but yet hear this mistake me not no life,"[19, 84, 119, 24, 1830, 15, 12, 33]"
hope his honour will conceive the fairest of me,"[229, 25, 197, 26, 2076, 2, 2701, 6]"
wailing my sister crying our maid howling our cat,"[7887, 10, 625, 1988, 56, 424, 5313, 56]"
thy eye joves lightning bears thy voice his dreadful thunder,"[41, 241, 3512, 2524, 828, 41, 523, 25]"
my throat to thee and to thy ancient malice,"[10, 1156, 5, 40, 4, 5, 41, 1554]"
may hang no longer on me throw my heart,"[80, 479, 33, 786, 42, 15, 729, 10]"
though cloten then but young you see not wore him,"[143, 3240, 62, 19, 220, 7, 85, 12]"
or else you are that shrewd and knavish sprite,"[50, 211, 7, 39, 9, 1926, 4, 5565]"
be like a king and show my sail of greatness,"[18, 87, 8, 93, 4, 209, 10, 1466]"
only in strokes but with thy grim looks and,"[379, 11, 3539, 19, 21, 41, 4034, 429]"
of all the under fiends but if so be,"[6, 37, 2, 478, 3234, 19, 30, 29]"
i will desire you to live in the mean time and eat,"[3, 26, 418, 7, 5, 163, 11, 2]"
cried and shrieked at it that it passed but women,"[808, 4, 11771, 46, 14, 9, 14, 5825]"
and yet i think jet did he never see,"[4, 84, 3, 100, 4340, 86, 17, 130]"
both empty the brain the heavier for being too,"[164, 1366, 2, 898, 2, 2947, 16, 195]"
lord hamlet is a prince out of thy star,"[67, 1603, 13, 8, 265, 89, 6, 41]"
remembered that such a one and such a one were past,"[3644, 9, 99, 8, 68, 4, 99, 8]"
robes and furrd gowns hide all plate sin with gold,"[2778, 4, 6936, 3826, 564, 37, 4569, 488]"
you bear too stubborn and too strange a hand,"[7, 169, 96, 2706, 4, 96, 431, 8]"
thing the wills above be done but i would fain,"[179, 2, 2345, 845, 18, 132, 19, 3]"
it is fifteen years since i saw my country though,"[14, 13, 3495, 481, 212, 3, 318, 10]"
and cheers these hands that slew thy sire and brother,"[4, 5146, 109, 258, 9, 1524, 41, 3873]"
a did in some sort indeed handle women but then,"[8, 86, 11, 103, 999, 254, 3437, 653]"
but shorten thy life one week and thou fresh piece,"[19, 7864, 41, 120, 68, 1432, 4, 28]"
let it alone thou fool it is but trash,"[61, 14, 603, 28, 216, 14, 13, 19]"
and rails and swears and rates that she poor soul,"[4, 5870, 4, 2072, 4, 4554, 9, 48]"
gods arm strike with us tis a fearful odds,"[201, 548, 559, 21, 81, 98, 8, 1743]"
how deeply you at once do touch me imogen,"[70, 5524, 7, 46, 210, 31, 655, 15]"
who marks the waxing tide grow wave by wave,"[106, 1548, 2, 13601, 1403, 565, 3225, 36]"
that most are willing if any such be here,"[9, 126, 39, 1658, 30, 131, 99, 18]"
i pray thee overname them and as thou namest,"[3, 123, 40, 11612, 64, 4, 22, 28]"
that you may know you shall not want one word,"[9, 7, 80, 69, 7, 35, 12, 533]"
that rends the thorns and is rent with the thorns,"[9, 8677, 2, 3408, 4, 13, 3816, 21]"
tis a vile thing to die my gracious lord,"[98, 8, 779, 179, 5, 193, 10, 960]"
but pay me terms of honour cold and sickly,"[19, 502, 15, 1117, 6, 197, 415, 4]"
though with their high wrongs i am struck to the quick,"[143, 21, 92, 441, 1148, 3, 49, 826]"
that book in manys eyes doth share the glory,"[9, 657, 11, 12990, 141, 140, 1613, 2]"
mooncalf speak once in thy life if thou beest a,"[5977, 101, 210, 11, 41, 120, 30, 28]"
and henry hadst thou swayd as kings should do,"[4, 434, 616, 28, 3758, 22, 329, 83]"
me i will show you such a necessity in his death,"[15, 3, 26, 209, 7, 99, 8, 2853]"
if these be they i know not how to wish,"[30, 109, 18, 45, 3, 69, 12, 70]"
that my report you indeed spoke so of him and,"[9, 10, 614, 7, 254, 560, 29, 6]"
he dives into the kings soul and there scatters,"[17, 6106, 236, 2, 329, 221, 4, 73]"
what not a word nay then thou lovest it not,"[32, 12, 8, 172, 151, 62, 28, 1552]"
why was my cressid then so hard to win,"[91, 53, 10, 2980, 62, 29, 414, 5]"
shall anon overread it at your pleasure where you,"[35, 865, 11564, 14, 46, 27, 691, 108]"
but like to groves being toppd they higher rise,"[19, 87, 5, 5930, 195, 7066, 45, 2428]"
blown up marry in blowing him down again with,"[1348, 107, 237, 11, 5169, 23, 150, 178]"
follow nay ill go with thee cheek by jole,"[391, 151, 63, 76, 21, 40, 937, 36]"
more like a soldier than a man o the church,"[55, 87, 8, 677, 79, 8, 65, 54]"
hath seald thee for herself for thou hast been,"[75, 3249, 40, 16, 1126, 16, 28, 155]"
i thought thy bridebed to have deckd sweet maid,"[3, 233, 41, 10123, 5, 20, 4715, 158]"
against me he stands there like a mortarpiece to,"[281, 15, 17, 556, 73, 87, 8, 10658]"
of the young prince your son send straight for him,"[6, 2, 220, 265, 27, 161, 332, 628]"
give us the swords we have bucklers of our own,"[90, 81, 2, 912, 38, 20, 7782, 6]"
or cassio him or each do kill the other,"[50, 838, 23, 50, 462, 31, 372, 2]"
they use to write it on the top of letters twill,"[45, 243, 5, 568, 14, 42, 2, 1323]"
and where that you have vowd to study lords,"[4, 108, 9, 7, 20, 2416, 5, 1157]"
it adds more sorrow to my want of joy,"[14, 5948, 55, 636, 5, 10, 533, 6]"
although the last not least to whose young love,"[1594, 2, 274, 12, 734, 5, 255, 220]"
fierce to their skill and to their fierceness valiant,"[2163, 5, 92, 1447, 4, 5, 92, 13666]"
sowter will cry upont for all this though it be as,"[13991, 26, 360, 2903, 16, 37, 24, 143]"
drawing all things to it ill go in and weep,"[4100, 37, 295, 5, 14, 63, 76, 11]"
a commodity in question i warrant you come well obey you,"[8, 2739, 11, 585, 3, 447, 7, 52]"
sweet york begin and if thy claim be good,"[158, 311, 746, 4, 30, 41, 1034, 18]"
by me they nothing gain an if i stay,"[36, 15, 45, 188, 1067, 78, 30, 3]"
money is a good soldier sir and will on,"[408, 13, 8, 47, 677, 57, 4, 26]"
as sure i think did never man love so,"[22, 252, 3, 100, 86, 130, 65, 59]"
very good give it nothing i pray you for it is,"[142, 47, 90, 14, 188, 3, 123, 7]"
or if it be tis with false sorrows eye,"[50, 30, 14, 18, 98, 21, 364, 1521]"
no no they would not do so foul a deed,"[33, 33, 45, 43, 12, 31, 29, 425]"
or if his mind be writ give me his letter,"[50, 30, 25, 251, 18, 634, 90, 15]"
is not that he t hat lies upon the ground,"[13, 12, 9, 17, 482, 1155, 396, 105]"
speak in some bush where dost thou hide thy head,"[101, 11, 103, 2655, 108, 218, 28, 564]"
he cries for you and vows if he can take you,"[17, 1486, 16, 7, 4, 1189, 30, 17]"
unmannerly sadness in his youth i had rather be,"[11616, 2668, 11, 25, 374, 3, 77, 272]"
faith sir johntis more than time that i were,"[206, 57, 8307, 55, 79, 110, 9, 3]"
the world will say he is not talbots blood,"[2, 133, 26, 71, 17, 13, 12, 3377]"
knees that she would make a puritan of the devil,"[1122, 9, 48, 43, 82, 8, 3467, 6]"
but yet i will be content to be a lawful hangman i,"[19, 84, 3, 26, 18, 686, 5, 18]"
soul being in heaven take away the fool gentlemen,"[221, 195, 11, 138, 95, 159, 2, 216]"
exeunt some with king edward iv and queen margaret,"[907, 103, 21, 93, 567, 1337, 4, 202]"
